b_44_01	b_44_02	b_44_03	b_K5_01	b_K5_02	b_K5_03	b_K5_04	b_K5_05	b_K5_06	bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	nb_44_04	nb_44_05	nb_44_06	nb_K5_07	nb_K5_08	nbK5_09	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
TRINITY_DN199099_c3_g1_i1	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	-1.15567074896264	4.90649414641765	-1.15567074896264	4.5919314813123	-1.15567074896264	4.37524273456706	-1.15567074896264	4.90707699681954	-1.15567074896264	4.58342125254869	-1.15567074896264	4.37193136343823	-1.15567074896264
TRINITY_DN196282_c2_g1_i4	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	-1.18782440198842	4.84116459116241	4.56272850991116	4.8242972707238	-1.18782440198842	-1.18782440198842	-1.18782440198842	4.84403391398749	4.56591382981669	4.86964753212055	-1.18782440198842
TRINITY_DN172328_c2_g4_i7	-1.06851716535666	-1.06851716535666	-1.06851716535666	-1.06851716535666	-1.06851716535666	-0.499026073397939	-1.06851716535666	0.257444830815196	0.567933451322322	-1.06851716535666	-1.06851716535666	-1.06851716535666	-1.06851716535666	-1.06851716535666	-0.499026073397939	-1.06851716535666	0.256869249303118	0.567005076103098	-0.460654262525421	-1.06851716535666	9.73620920776761	-0.430675105032551	-0.622790462006671	-1.06851716535666	-0.460654262525421	-1.06851716535666	9.73617775222746	-0.429748220939706	-0.622790462006671	-1.06851716535666
TRINITY_DN182397_c0_g1_i1	-1.3671084566674	-1.3671084566674	-1.3671084566674	-0.142450722546665	3.02225184770548	-0.704447201192309	-1.3671084566674	-0.577170587687208	5.48461560280005	-1.3671084566674	-1.3671084566674	-1.3671084566674	-0.143068182449472	3.01921967167652	-0.704447201192309	-1.3671084566674	-0.577170587687208	5.48329094010285	-1.3671084566674	-1.3671084566674	-1.3671084566674	-0.877565521024929	-1.3671084566674	4.73401631154654	-1.3671084566674	-1.3671084566674	-1.3671084566674	-0.877565521024929	-1.3671084566674	4.73422645765203
TRINITY_DN191468_c1_g2_i5	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	-1.07754914212754	4.22998867400381	3.86322839225483	-1.07754914212754	-1.07754914212754	3.95296350989775	-0.193146589143854	4.23031649715406	3.86313444233028	-1.07754914212754	-1.07754914212754	3.95274278945289	-0.193146589143854
TRINITY_DN167511_c4_g1_i2	3.76392677490988	4.47464603563518	-0.456404594273276	-1.58667654879213	-1.58667654879213	-1.58667654879213	-1.534260654641	-1.58667654879213	-1.58667654879213	3.76562294092598	4.47434354760657	-0.456404594273276	-1.58667654879213	-1.58667654879213	-1.58667654879213	-1.534260654641	-1.58667654879213	-1.58667654879213	-1.58667654879213	3.64767148111054	2.88821371288591	-1.58667654879213	-0.0909813861680655	-1.58667654879213	-1.58667654879213	3.64747984487885	2.88821371288591	-1.58667654879213	-0.0909813861680655	-1.58667654879213
TRINITY_DN194485_c1_g1_i1	0.0657539874657009	-1.07763943122749	4.33497275376912	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	0.0664069383892201	-1.07763943122749	4.3353114145784	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	3.45866218809633	3.99429481386408	-1.07763943122749	-1.07763943122749	-1.07763943122749	-1.07763943122749	3.45841346901272	3.99425192182914	-1.07763943122749	-1.07763943122749	-1.07763943122749
TRINITY_DN174713_c1_g2_i6	-1.46838690524115	-0.966565639820238	-1.09098547445535	-0.591035278791886	0.167135336218605	-1.46838690524115	-1.46838690524115	-0.792119496975259	-0.642194369004547	-1.46838690524115	-0.966565639820238	-1.08987528198742	-0.591035278791886	0.164811781132855	-1.46838690524115	-1.46838690524115	-0.792119496975259	-0.643008301348217	-1.46838690524115	-0.742427670731961	-0.317827228665767	5.61027629520592	-1.46838690524115	6.70840458734262	-1.46838690524115	-0.742427670731961	-0.317827228665767	5.61074582871204	-1.46838690524115	6.70850928056521
TRINITY_DN197815_c5_g1_i3	-0.107670948666081	5.54332682873181	1.48257967708601	-1.53633828137894	4.95850449965086	5.07761065284733	-2.41367337737986	-1.36911688074451	-1.73143956322543	-0.106226809365426	5.54301768415829	1.48285956748187	-1.53601418948925	4.95539596301376	5.0780242406155	-2.41248303486936	-1.370271960903	-1.73255318353614	-0.864682154704331	-0.188519165815447	-2.53019295076053	-2.09019802866012	-2.80372255742701	-1.4259313511701	-0.864885652136206	-0.188264497669881	-2.53083859634789	-2.08972228420704	-2.80294251142753	-1.42563113370134
TRINITY_DN182096_c0_g1_i13	-2.28213659057031	-2.28213659057031	-2.28213659057031	1.31920336742775	-2.28213659057031	-2.15252385243984	5.91597444366686	-2.28213659057031	5.78766222789129	-2.28213659057031	-2.28213659057031	-2.28213659057031	1.31932223004705	-2.28213659057031	-2.15252385243984	5.91699586940205	-2.28213659057031	5.78625476759134	-2.28213659057031	-2.28213659057031	-2.28213659057031	4.80296933900719	-2.28213659057031	4.86571956290717	-2.28213659057031	-2.28213659057031	-2.28213659057031	4.80353237512262	-2.28213659057031	4.86587215208183
TRINITY_DN160534_c1_g2_i1	-2.19714616587972	-2.19714616587972	-2.19714616587972	-2.19714616587972	-2.19714616587972	4.06150466065547	-2.19714616587972	2.59091305776983	2.08714586051459	-2.19714616587972	-2.19714616587972	-2.19714616587972	-2.19714616587972	-2.19714616587972	4.06169307091548	-2.19714616587972	2.58965926709918	2.08573838918133	-2.19714616587972	-2.19714616587972	-2.19714616587972	6.26559738776593	2.80784952314565	1.96232156338705	-2.19714616587972	-2.19714616587972	-2.19714616587972	6.26619019522077	2.80753499023819	1.96248301994151
TRINITY_DN173528_c0_g3_i5	0.825366907921911	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	0.828008400953203	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	6.66696631528617	3.13000639321499	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156	6.66689715573939	3.13925276024808	-0.885687413890156	-0.885687413890156	-0.885687413890156	-0.885687413890156
TRINITY_DN195501_c0_g1_i4	1.82441706932154	2.64496431237997	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.682938861723433	-0.644952497513532	1.82567017027837	2.64482233579757	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.700148151755656	-0.681513977616605	-0.644952497513532	3.79644202266529	-0.700148151755656	-0.638026439847859	-0.700148151755656	-0.700148151755656	-0.700148151755656	3.79676153522189	-0.700148151755656	-0.638026439847859	-0.700148151755656	-0.700148151755656	-0.700148151755656
