bleached_male_K5_01	bleached_male_K5_02	bleached_male_K5_03	bleached_female_K5_04	bleached_female_K5_05	bleached_female_K5_06	bleached_female_44_01	bleached_female_44_02	bleached_female_44_03	non-bleached_female_K5_01	non-bleached_female_K5_02	non-bleached_female_K5_03	non-bleached_female_44_01	non-bleached_female_44_02	non-bleached_female_44_03
TRINITY_DN156517_c2_g1	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	-0.816844552579776	4.08445680937497	-0.816844552579776	-0.816844552579776	1.06482006674057	3.07126547600575	0.764747726256238
TRINITY_DN194722_c2_g3	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	-0.536325185739548	2.21941699360584	0.134515150142014	0.377473779211149	1.03559427750601	1.59625165693046	-0.536325185739548
TRINITY_DN168439_c1_g1	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	-0.549618677733937	2.54106541237531	0.27494553435589	-0.549618677733937	0.769421137828599	2.16759162128566	-0.256836928506091
TRINITY_DN190367_c5_g1	2.1345383869328	3.10584608190761	1.88864243897744	2.94459638189158	4.58301898539662	-1.9518207948921	1.86344720880877	-1.68518415237811	-1.80516557277264	-1.85420999826568	-1.78317875933326	-1.9518207948921	-1.88831785258595	-1.77422186556437	-1.82616969323058
TRINITY_DN175581_c5_g2	-1.38937967460812	0.358444768965573	-1.92380056670949	-1.69416221683656	-1.09498256106607	-1.37031919583922	-0.165238743736487	-0.297074202674554	-1.93448284946541	6.8758884482786	-2.7345592946175	-0.959417085603402	1.93058757044848	4.31418905027036	0.0843065531937928
TRINITY_DN145868_c1_g1	2.72765069851683	1.32150965556385	0.971573556532249	1.54385952015214	-0.00565459530488166	-0.935757173236639	0.913469183540813	1.4429386854054	-0.0541612436791103	-2.04533396536788	-1.27664736476495	-1.5013647068058	-1.08627930371872	-0.872060347240255	-1.14374259959304
TRINITY_DN187676_c0_g2	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	-0.789720959102311	4.45070786529442	-0.789720959102311	0.0813341159843182	1.64243672820824	2.51245184063844	-0.789720959102311
TRINITY_DN191833_c2_g1	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	-0.61172843758005	1.83902093795745	1.14144818974207	0.606122659231081	1.78990202900469	0.435111816622922	-0.306049694337763
TRINITY_DN169391_c1_g1	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	-0.634143535147219	4.34189926233072	0.116891641520643	-0.634143535147219	0.294132026464715	1.21905371962314	0.369458701532976
TRINITY_DN169866_c3_g1	-0.743998669844056	-0.743998669844056	-0.694367902119456	-0.691582775692918	-0.743998669844056	-0.743998669844056	-0.743998669844056	-0.681876957936259	-0.699954337138035	4.37995716209611	-0.669493233480427	-0.702755687612175	4.80853210673469	-0.639662010029321	-0.688803015601932
TRINITY_DN180938_c2_g2	-1.6937318306129	-0.868353226719965	-1.16566066603416	-1.03015949519537	-1.6937318306129	-0.551645200995369	-1.51868634450198	-0.408033704654771	-1.21036746989955	6.3470072069269	-1.13301687613842	-1.00130463252319	1.41579589118546	6.02547214923067	-1.51358396945447
