b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
TRINITY_DN175858_c1_g2	-1.01966514278957	-1.01966514278957	-1.01966514278957	0.884529905448301	1.45126211468555	0.723203408234869
TRINITY_DN154978_c7_g5	-0.976779444677735	-0.976779444677735	-0.976779444677735	0.595140018567823	1.62491707180322	0.710281243662158
TRINITY_DN123779_c0_g1	0.670725001839774	2.08008737984373	2.49482022384937	-1.74854420184429	-1.74854420184429	-1.74854420184429
TRINITY_DN151843_c2_g1	-1.31403565993724	-1.31403565993724	-1.31403565993724	-0.124369213287185	1.61063434823252	2.45584184486637
TRINITY_DN186307_c2_g1	-0.814636071951528	-0.814636071951528	-0.814636071951528	1.14067673149318	0.761160303377554	0.542071180983853
TRINITY_DN167422_c0_g2	-1.2213369071758	-1.08383338342587	-1.7378137904743	1.09614528268037	1.69181396001831	1.2550248383773
TRINITY_DN159989_c2_g1	-0.858574398392952	-0.858574398392952	-0.858574398392952	0.262441002568414	0.83072476214294	1.4825574304675
TRINITY_DN196300_c4_g1	-1.0593775342752	-1.0593775342752	-1.0593775342752	1.27404619944999	1.06196948260324	0.842116920772374
TRINITY_DN165094_c2_g6	-1.965697502998	-1.965697502998	-1.965697502998	2.61251666247445	0.811248688859082	2.47332715766048
TRINITY_DN172962_c1_g2	-0.871265412959744	-0.871265412959744	-0.871265412959744	1.66030319585522	0.190165187538003	0.763327855486012
TRINITY_DN175008_c1_g1	-0.84832794205111	-0.84832794205111	-0.84832794205111	0.606374386112578	0.645831621661733	1.29277781837902
TRINITY_DN194675_c3_g5	-0.871405027762789	-0.871405027762789	-0.871405027762789	0.799888344718787	0.672090855662983	1.1422358829066
TRINITY_DN170644_c2_g1	1.06100050675684	1.41084213236143	2.5145207784631	-1.66212113919379	-1.66212113919379	-1.66212113919379
TRINITY_DN172509_c1_g1	0.564070881409374	0.544141605562323	1.49364143352073	-0.867284640164142	-0.867284640164142	-0.867284640164142
TRINITY_DN196286_c4_g2	-1.69268519432375	-1.18353847530133	-1.46275085723304	1.56338257515058	1.65583148970381	1.11976046200375
TRINITY_DN158349_c2_g3	2.75542125423214	2.64885061484146	1.44266525056951	-2.28231237321437	-2.28231237321437	-2.28231237321437
TRINITY_DN167217_c8_g1	0.865086104296872	2.06536193292666	-0.0888278154943286	-0.9472067405764	-0.9472067405764	-0.9472067405764
TRINITY_DN188162_c5_g7	1.4036720464617	0.489650354040001	0.584425228335139	-0.825915876278948	-0.825915876278948	-0.825915876278948
TRINITY_DN186334_c2_g1	-2.20078022169116	-2.20078022169116	-2.20078022169116	3.83537140677039	2.16225064501533	0.604718613287757
TRINITY_DN175619_c6_g5	-1.13171541316305	-1.13171541316305	-1.13171541316305	0.448912497294214	1.40010268895835	1.54613105323659
TRINITY_DN199648_c1_g1	-1.26503567573549	-1.26503567573549	-1.26503567573549	-0.592384046407101	1.40376423309613	2.98372684051743
TRINITY_DN188536_c0_g1	-1.13810323984951	-1.02840837502358	-1.13810323984951	0.598285160853946	1.1022110894842	1.60411860438447
